,Name,City,Portfolio Manager,Trustee,Supervisory organisation
673,HMSA Sàrl,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
674,HNW Family Office AG,Erlenbach ZH,X,,FINcontrol Suisse AG
675,Hochstrasser Vermögensverwaltung AG,Auenstein,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
676,Hofag AG,Gränichen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
677,Holistify Capital AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
678,Honestus Family Office AG,Cham,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
679,HOONEX Management & Services SA,Fribourg,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
680,Horizon Investment SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
681,Hottinger Capital SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
682,Huber & Partner Vermögensverwaltung AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
683,Huber Partners AG,Zürich,,X,OSFIN Organisation de surveillance financière
684,Huesler Financial Consulting AG,Luzern,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
685,Human Edge Investment Technology AG,Zug,X,,FINcontrol Suisse AG
686,hungerbühler.CONSULTING AG,Zürich,X,,FINcontrol Suisse AG
687,HUTTON SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
688,Hyperion Fintech AG,Zug,X,,FINcontrol Suisse AG
689,Hyposwiss Advisors SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
690,i Partners SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
691,I&P Trust & Family Office SA,Lugano,,X,OSFIN Organisation de surveillance financière
692,I.D.F. Investment and Development Financing SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
693,IAP Investment & Trust Services AG,Zürich,X,X,FINcontrol Suisse AG
694,IBEX CAPITAL SA,Chiasso,X,,OSFIN Organisation de surveillance financière
695,ICAM & PARTNERS SA,Lugano,X,,OSFIN Organisation de surveillance financière
696,Icon Asset Management AG,Zürich,X,,FINcontrol Suisse AG
697,Ideal Gestion SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
698,"IDH Capital, Cameron Dewey",Küsnacht ZH,X,,FINcontrol Suisse AG
699,IFM Finanzmanagement Berger & Partner,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
700,IFO International Family Office SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
701,iGravity AG,Zürich,X,,FINcontrol Suisse AG
702,Iko Capital AG,Zug,X,,OSFIN Organisation de surveillance financière
703,Ilardo & Partner Asset Management AG,Erlenbach ZH,X,,FINcontrol Suisse AG
704,Illumina Capital Management AG,Wollerau,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
705,ILMAX AG,Frauenfeld,X,,FINcontrol Suisse AG
706,IMAA Investment Management & Advisory AG,Zollikon,X,,FINcontrol Suisse AG
707,IMM Wealth Management AG,Zug,X,,FINcontrol Suisse AG
708,Independent Swiss Value Partners AG,Nussbaumen AG,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
709,IndexInvestor AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
710,INFIBA Vermögensverwaltungs AG,Basel,X,,OSFIN Organisation de surveillance financière
711,Infinity Capital SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
712,InnoFInCon AG,Bern,X,,FINcontrol Suisse AG
713,Insignium Wealth Management AG,Zürich,X,,OSFIN Organisation de surveillance financière
714,Intecor Wealth Management AG,Nidau,X,,OSFIN Organisation de surveillance financière
715,Intelligent Invest SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
716,International Consulting & Asset Management - ICAM Group SA,Chiasso,X,,OSFIN Organisation de surveillance financière
717,INTRUST AG,Zürich,,X,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
718,Intuitive Capital Partners SA,Coppet,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
719,Inversion Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
720,Investart AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
721,Investera Capital AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
722,Investiera Group AG,Muri b. Bern,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
723,INVESTISSEMENTS 46 S.A.,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
724,Investivity SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
725,INVESTORY AG,Kloten,X,,OSFIN Organisation de surveillance financière
726,Invest-Partners Wealth Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
727,Inyova AG,Zürich,X,,OSFIN Organisation de surveillance financière
728,iolite Capital Management AG,Pfäffikon SZ,X,,OSFIN Organisation de surveillance financière
729,ISG AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
730,ISGAM AG,Zürich,X,,FINcontrol Suisse AG
731,IST Asset Management GmbH,Klosters,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
732,ITACA SA,Lugano,X,,OSFIN Organisation de surveillance financière
733,ITS Capital AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
734,IZ Wealth Management SA,Sion,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
735,J. Safra Sarasin Asset Management (North America) SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
736,J. Stern & Co (Switzerland) AG,Zürich,X,,OSFIN Organisation de surveillance financière
737,Jabre Capital Partners SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
738,Jacot Partners Financial Services AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
739,Jamalco SA,Lausanne,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
740,Janora AG,Zug,X,,FINcontrol Suisse AG
741,JAR (Switzerland) SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
742,JBG CAPITAL SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
743,J-Invest & Partner AG,Chur,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
744,Johannes Mock Finanzberatung,Dettighofen (Lengwil),X,,FINcontrol Suisse AG
745,Johnson & Stuber Aktiengesellschaft für Vermögensverwaltung,Zürich,X,,OSFIN Organisation de surveillance financière
746,Jörg Vermögensverwaltung AG,St. Moritz,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
747,Josef Huber,Zürich,X,,FINcontrol Suisse AG
748,Joseph Shabathai Investment Management,Zumikon,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
749,JP International Holding AG,Wilen b. Wollerau,X,,FINcontrol Suisse AG
750,JTC (Suisse) SA,Grand-Lancy,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
751,JTC Trustees (Suisse) Sàrl,Grand-Lancy,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
752,JTS Investments AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
753,Jud & Partner Vermögensverwaltungs AG,Zürich,X,,OSFIN Organisation de surveillance financière
754,Julius Bär Family Office & Trust AG,Zürich,,X,FINcontrol Suisse AG
755,Julius Bär Nomura Wealth Management AG,Zürich,X,,FINcontrol Suisse AG
756,JVRinvest Sàrl,St-Cergue,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
757,K&S Vermögensverwaltung GmbH,Olten,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
758,Kahn & Cie Financial Experts SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
759,Kaiser Partner Financial Advisors AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
760,Kaleso Trustee Switzerland SA,Lausanne,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
761,KANSOU SA,Grono,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
762,KANZ Investment Services SA,Morges,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
763,KARFIGEST SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
764,Kasparund AG,St. Gallen,X,,FINcontrol Suisse AG
765,Kauders Portfolio Management AG,Zug,X,,FINcontrol Suisse AG
766,"KAUFMANN, WUNDERLIN & PARTNER AG",Basel,X,,OSFIN Organisation de surveillance financière
767,Kay Capitals SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
768,"Keane, Mathez & Cie",Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
769,Keller Vermögensverwaltung AG,Zürich,X,,FINcontrol Suisse AG
770,Kessler Gestion SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
771,Kestrel Trust SA,Neuchâtel,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
772,Kestrel Wealth Management S.A.,Neuchâtel,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
773,Key Advisors AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
774,Key Family Partners SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
775,Key Investment Services (KIS) SA,Morges,X,,OSFIN Organisation de surveillance financière
776,Kickfund AG,Basel,X,,FINcontrol Suisse AG
777,"Klainguti, van Abbe & Partner AG",Zürich,X,,OSFIN Organisation de surveillance financière
778,KM Nordic Invest AG,Zürich,X,,FINcontrol Suisse AG
779,KMS Vermögensverwaltung AG,Winterthur,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
780,Knight Capital AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
781,Koch & Partner Finanzberatung AG,Seuzach,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
782,Kommodities Partners SA,Mendrisio,X,,OSFIN Organisation de surveillance financière
783,Konrad Zehnder Wealth Partners AG,Zürich,X,,FINcontrol Suisse AG
784,Krystal Family Office SA,Lugano,X,,OSFIN Organisation de surveillance financière
785,Kurt Gubler Consulting,Zürich,X,,OSFIN Organisation de surveillance financière
786,KW-invest AG,Zürich,X,,FINcontrol Suisse AG
787,Kym Richard und Martin,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
788,L+A Vermögensverwaltung und Trust GmbH,Zürich,X,,FINcontrol Suisse AG
789,La Vintoll Asset Management AG,Baar,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
790,Lakeland Asset Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
791,LakeStreet Family Office AG,Küsnacht ZH,X,,FINcontrol Suisse AG
792,LAM Leman Asset Management SA,Genthod,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
793,lambda CAPITAL GROUP AG,Zürich,X,,OSFIN Organisation de surveillance financière
794,Landmark Trust Switzerland SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
795,Lapis Asset Management AG,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
796,Lassados Capital AG,Feusisberg,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
797,LAURO & GIAVATTO SA,Pambio-Noranco,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
798,LCP Livingston Capital Partners SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
799,LEAG SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
800,Legacy CAM SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
801,Legal & Financial Services AG,Zürich,,X,FINcontrol Suisse AG
802,Legal Care SA,Genève,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
803,Lemania Wealth Management SA,Lausanne,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
804,Lemantrust SA,Nyon,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
805,Lemvi SA,Zug,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
806,LENIRIAN FAMILY OFFICE SA,Corteglia,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
807,Lenox Capital AG,Zürich,X,,OSFIN Organisation de surveillance financière
808,LeoVest Partners AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
809,Lex Trust SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
810,LFA - Lugano Financial Advisors SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
811,LFG Family Office SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
812,LGH et Associés SA,Lausanne,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
813,Liberties Investments SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
814,Lighthouse Swiss Trust AG,Zug,,X,OSFIN Organisation de surveillance financière
815,Lighthouse Swiss Wealth Advisors AG,Zug,X,,OSFIN Organisation de surveillance financière
816,Lignum Vitae AG,Wilen b. Wollerau,X,,OSFIN Organisation de surveillance financière
817,Limfid SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
818,Limmat Wealth AG,Zürich,X,,FINcontrol Suisse AG
819,LIMMIG PARTNERS AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
820,Lion's Paw AG,Zürich,X,,FINcontrol Suisse AG
821,Livalor Vermögensverwaltung AG,Zürich,X,,FINcontrol Suisse AG
822,Lloyd Capital LLC,Kilchberg ZH,X,,FINcontrol Suisse AG
823,LLW Milesi Vermögensverwaltung AG,Oberwil BL,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
824,LM Capital SA,Montreux,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
825,LM Finanz AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
826,LMP FINANCE SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
827,LO Patrimonia SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
828,"Lobnek Wealth Management Inc., Delaware, succursale de Genève",Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
829,Lobnek Wealth Management SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
830,Logistable S.A.,Lausanne,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
831,Long Term Wealth Management GmbH,Zürich,X,,OSFIN Organisation de surveillance financière
832,Longchamps Invest SA,Lauenen b. Gstaad,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
833,Los Andes Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
834,Lotos Asset Management AG,Zürich,X,,FINcontrol Suisse AG
835,Lugano Wealth Partners SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
836,Lugaresi Ness Partner AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
837,Lumen Capital (Schweiz) AG,Zürich,X,,FINcontrol Suisse AG
838,Lungershausen Eggensperger Enzler & Partner AG,Thalwil,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
839,Lüscher Vermögensverwaltung AG,Zürich,X,,FINcontrol Suisse AG
840,LV Asset Management AG,Glattbrugg,X,,OSFIN Organisation de surveillance financière
841,Lyra Financial Wealth SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
842,M Capital Partners Sàrl,Eysins,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
843,M&A ESTATE AG,Zürich,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
844,M&D Trustees SA,Genève,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
845,M.E. Consulenze SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
846,M.F.A. Finance SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
847,MA Management & Finance SA,Prangins,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
848,MAFIN SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
849,Magnolia Private Office S.A.,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
850,MaieutCapital AG,Zürich,X,,OSFIN Organisation de surveillance financière
851,Main Partner AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
852,Majorelle SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
853,MaM Advisors SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
854,Managing Growth Trustees SA,Paradiso,X,X,OSFIN Organisation de surveillance financière
855,Mandaris Trust Company (Schweiz) AG,Basel,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
856,Manely SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
857,Marbling Financial Group AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
858,Marcau Partners AG,Zürich,X,,FINcontrol Suisse AG
859,Marcel Raymann AG,Amriswil,X,,FINcontrol Suisse AG
860,Marcuard Family Office AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
861,Marcuard Heritage AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
862,MarFinance AG,Obergerlafingen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
863,Marmot Investment Office AG,Zürich,X,,OSFIN Organisation de surveillance financière
864,MARS Capital SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
865,Martellus Capital AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
866,MARTIN Gestion SA,Sion,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
867,Marvix SA,Pully,,X,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
868,MATAM Capital SA,Echallens,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
869,Mattheos Theocharopoulos,Mont-sur-Rolle,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
870,Maurer Lasagni Stüdeli AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
871,Mauris & Cie SA,Bernex,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
872,Mazza Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
873,MB Investment Management AG,Zollikon,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
874,MD&Partners AG,Schaffhausen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
875,MDA asset management GmbH,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
876,Mecta Capital SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
877,Meille & Lubini SA,Payerne,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
878,Meisser & Paganini Asset Management AG,Davos Platz,X,,OSFIN Organisation de surveillance financière
879,Mengelt Vermögensverwaltung AG,Uster,X,,FINcontrol Suisse AG
880,Mental Capital AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
881,Merco Trustees AG,Zürich,,X,FINcontrol Suisse AG
882,Mercury Control AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
883,Meridian Wealth Management SA,Lausanne,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
884,Merion Swiss Partners Sàrl,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
885,Merit Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
886,Meylan Finance Sàrl,Morges 2,X,,OSFIN Organisation de surveillance financière
887,MFT Meier Finanz-Treuhand AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
888,MG Invest SA,Nyon,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
889,MIAVEST AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
890,MIC Invest AG,Pfäffikon SZ,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
891,Midi Management SA,Lausanne,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
892,Mierzwinski Wealth Management SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
893,Milesi Asset Management AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
894,MILLENIUM CONSEILS ET PLACEMENTS SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
895,MING Asset Management (Switzerland) AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
896,Miura Wealth Management SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
897,MM Gestione Patrimoniale SA,Cureglia,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
898,Möbius Technologies AG ,Kilchberg ZH,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
899,Monaval Vermögensverwaltungs AG,Zürich,X,,FINcontrol Suisse AG
900,Money Consulting GmbH,Dübendorf,X,,FINcontrol Suisse AG
901,Moning Wealth Management AG,Richterswil,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
902,Monrey SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
903,Mont Blanc Capital Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
904,Montana Capital Partners AG,Baar,X,,FINcontrol Suisse AG
905,Montaris AG,Zürich,X,,FINcontrol Suisse AG
906,MONTEC CAPITAL SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
907,Monti Gestione Patrimoniale SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
908,MONTIS Asset Management SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
909,Moor & Bachmann AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
910,Mount-Invest SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
911,MP Financial Services AG,Schlatt ZH,X,,FINcontrol Suisse AG
912,MP Part AG,Zürich,,X,FINcontrol Suisse AG
913,MPM SWISS AG,Cham,X,,FINcontrol Suisse AG
914,MSM Investment Advisors SA,Collonge-Bellerive,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
915,Mt Fort Advisers SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
916,Multi Group Finance SA,Lausanne,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
917,Multi-Manager Investments AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
918,Multiplicity Partners AG,Zürich,X,,FINcontrol Suisse AG
919,MVC & Partners SA,Chiasso,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
920,M-Wealth Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
921,MZR + Partner AG,Zürich,X,,FINcontrol Suisse AG
922,Nahmani Grunder & Cie AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
923,Nardi Asset Management & Consulting AG,Urdorf,X,,FINcontrol Suisse AG
924,Naret SA,Locarno,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
925,Navigo Vermögensverwaltung AG,Appenzell,X,,FINcontrol Suisse AG
926,Necker Finance (Suisse) SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
927,Nemesis Asset Management SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
928,NeoCapital SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
929,Ness Family Office SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
930,Neuronomics AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
931,Nevastar Finance (Switzerland) SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
932,NewOak SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
933,Nexilis Capital SA,Lausanne,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
934,NextGen Capital SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
935,Nextgen Financial Advisors SA,Paradiso,X,,OSFIN Organisation de surveillance financière
936,NextGen Wealth Managers SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
937,NFG Partners SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
938,NHP Asset Management AG,Zürich,X,,OSFIN Organisation de surveillance financière
939,Nigg und Gut KlG,Küsnacht ZH,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
940,NIGHTINGALE TRUSTEES SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
941,Ninety-Six Partners SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
942,Noga Capital Partners SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
943,Nomad Partners SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
944,NORD-FIN SA,Lugano,X,,OSFIN Organisation de surveillance financière
945,Nordsüd Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
946,NOVA INVESTMENT PARTNERS AG,Baden,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
947,NOVALIS FINANCE SA,Montreux,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
948,NOVALTUS AG,Zürich,X,,OSFIN Organisation de surveillance financière
949,NOVUM CAPITAL PARTNERS SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
950,NR & Cie SA,Châtelaine,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
951,NUMAN WEALTH PARTNERS SA,Lausanne,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
952,NUMMUS Asset Management AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
953,NWT SWITZERLAND SA,Genève,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
954,OakHill Asset Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
955,Octa Wealth AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
956,Octavian AG,Zürich,X,,FINcontrol Suisse AG
957,Octogone Gestion Sàrl,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
