,Name,City,Portfolio Manager,Trustee,Supervisory organisation
469,Eriya AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
470,Erlen Capital Management AG,Zürich,X,,FINcontrol Suisse AG
471,Essedi Asset Management SA,Lugano,X,,OSFIN Organisation de surveillance financière
472,Essentia Family Office SA,Lugano,X,,OSFIN Organisation de surveillance financière
473,Estoppey Value Investments AG,Basel,X,,FINcontrol Suisse AG
474,Ethos Gestion de Patrimoine Sàrl,Sion,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
475,EUFINGEST SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
476,Eugster Vermögensberatung AG,Weisslingen,X,,OSFIN Organisation de surveillance financière
477,Euro Treuhand & Beratung (ETB) AG,St. Gallen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
478,EUROCAPITAL advisors (Switzerland) SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
479,Eurotrust Family Office AG,Zürich,,X,OSFIN Organisation de surveillance financière
480,Everon AG,Zürich,X,,FINcontrol Suisse AG
481,EVT Financial Advisors AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
482,EW Asset Management AG,Männedorf,X,,OSFIN Organisation de surveillance financière
483,Exandas AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
484,F&O PARTNER VERMÖGENSVERWALTUNGS AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
485,"Fäh, Kottmann + Partner AG",Schaffhausen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
486,Fairfield Capital SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
487,Fairway Family Office AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
488,FALGOM AG,Steinhausen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
489,FANUM Consulting AG,Affoltern am Albis,X,,FINcontrol Suisse AG
490,Faro Portfoliomanagement AG,Sargans,X,,FINcontrol Suisse AG
491,FB Investconsult AG,Baden,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
492,FBAM Swiss AG,Basel,X,,FINcontrol Suisse AG
493,FCS Alliance SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
